INSTNM,CITY,STABBR,CONTROL,UGDS,C150_4,COSTT4_A,COSTT4_A_IMP,TUITIONFEE_IN,TUITIONFEE_IN_IMP,TUITIONFEE_OUT,TUITIONFEE_OUT_IMP,PCTPELL,GRAD_DEBT_MDN,MD_EARN_WNE_P10,ROI,ZIP,LATITUDE,LONGITUDE
Alabama A & M University,Normal,AL,1,6124.0,0.2403,27153.0,27153.0,10024.0,10024.0,18634.0,18634.0,0.6298,31000.0,40628.0,2.673328738800827,35762,34.783368,-86.568502
University of Alabama at Birmingham,Birmingham,AL,1,11635.0,0.6423,28145.0,28145.0,9098.0,9098.0,22562.0,22562.0,0.3402,22300.0,54501.0,2.0656501715564852,35294-0110,33.505697,-86.799345
Amridge University,Montgomery,AL,2,241.0,1.0,,46093.0,7590.0,7590.0,7590.0,7590.0,0.7655,32189.0,37621.0,4.90077350415991,36117-3553,32.362609,-86.17401
University of Alabama in Huntsville,Huntsville,AL,1,6591.0,0.6429,27392.0,27392.0,12132.0,12132.0,26408.0,26408.0,0.2464,20705.0,61767.0,1.7738922078132335,35899,34.724557,-86.640449
Alabama State University,Montgomery,AL,1,3477.0,0.3034,23586.0,23586.0,11248.0,11248.0,19576.0,19576.0,0.7134,31000.0,34502.0,2.734450176801345,36104-0271,32.364317,-86.295677
The University of Alabama,Tuscaloosa,AL,1,33227.0,0.7337,33382.0,33382.0,12180.0,12180.0,34172.0,34172.0,0.184,22750.0,59221.0,2.2547407169753972,35487-0100,33.211875,-87.545978
Central Alabama Community College,Alexander City,AL,1,1203.0,,21413.0,21413.0,5110.0,5110.0,8980.0,8980.0,0.3183,9766.0,33506.0,2.5563182713543844,35010,32.92478,-85.945266
Athens State University,Athens,AL,1,2446.0,,,17783.0,,5507.0,,11010.0,0.4251,18051.0,50273.0,1.4149145664670897,35611,34.806793,-86.964698
Auburn University at Montgomery,Montgomery,AL,1,2542.0,0.326,21353.0,21353.0,9700.0,9700.0,20668.0,20668.0,0.4235,25000.0,44391.0,1.9240837106620712,36117-3596,32.36736,-86.177544
Auburn University,Auburn,AL,1,26816.0,0.8195,34919.0,34919.0,12890.0,12890.0,34922.0,34922.0,0.1253,21000.0,65337.0,2.1377779818479574,36849,32.599378,-85.488258
Chattahoochee Valley Community College,Phenix City,AL,1,1110.0,,12600.0,12600.0,5100.0,5100.0,8970.0,8970.0,0.4025,10500.0,36438.0,1.3831714144574345,36869,32.42391,-85.031485
South University-Montgomery,Montgomery,AL,3,299.0,0.0909,34793.0,34793.0,18145.0,18145.0,18145.0,18145.0,0.6556,26123.0,34421.0,4.043229423898202,36116,32.342684,-86.216488
Enterprise State Community College,Enterprise,AL,1,1585.0,,19956.0,19956.0,5100.0,5100.0,8970.0,8970.0,0.3496,7499.0,42572.0,1.8750352344263836,36330-1300,31.297496,-85.836956
Coastal Alabama Community College,Bay Minette,AL,1,4798.0,,20605.0,20605.0,5040.0,5040.0,8910.0,8910.0,0.3567,11000.0,34894.0,2.3620106608586005,36507-2698,30.851343,-87.778193
Faulkner University,Montgomery,AL,2,1549.0,0.374,37626.0,37626.0,23920.0,23920.0,23920.0,23920.0,0.4562,23000.0,43457.0,3.4632855466323034,36109-3390,32.384181,-86.21641
Gadsden State Community College,Gadsden,AL,1,3548.0,,10189.0,10189.0,4272.0,4272.0,7368.0,7368.0,0.4634,,32937.0,1.2373925979901024,35903,33.994001,-85.991438
New Beginning College of Cosmetology,Albertville,AL,3,81.0,,,31946.0,,16657.0,,16657.0,0.6667,9500.0,40747.0,3.136034554691143,35951,34.27871,-86.196931
George C Wallace Community College-Dothan,Dothan,AL,1,3017.0,,9308.0,9308.0,4980.0,4980.0,8850.0,8850.0,0.4706,,31399.0,1.1857702474601102,36303-9234,31.315274,-85.465836
